rank,lemma,frequency,cumulative_pct,pos,num_surface_forms,example_surface_form
77,biraz,359455,48.427,Noun,1,biraz
78,anlamak,358354,48.633,Verb,1,anlıyorum
79,anne,357013,48.839,Noun,1,anne
80,gerekmek,352869,49.042,Verb,1,gerekiyor
81,kız,352039,49.244,Noun,1,kız
82,hadi,350183,49.445,Interj,1,hadi
83,gün,344826,49.643,Noun,1,gün
84,teşekkür,344738,49.842,Noun,1,teşekkürler
85,insan,344301,50.04,Noun,1,insan
86,son,339642,50.235,Noun,1,son
87,hak,333940,50.427,Noun,1,hakkında
88,al,323529,50.613,Verb,1,al
89,yüz,316688,50.795,Noun,1,yüzden
90,yani,312127,50.974,Conj,1,yani
91,bırakmak,310264,51.153,Verb,1,bırak
92,hayat,304254,51.328,Noun,1,hayatta
93,geri,301842,51.501,Noun,1,geri
94,sormak,299627,51.673,Verb,1,sorun
95,sevmek,294349,51.842,Verb,1,seviyorum
96,tanrı,293539,52.011,Noun,1,tanrım
97,işte,292160,52.179,Adv,1,İşte
98,başka,291194,52.347,Noun,1,başka
99,bile,289647,52.513,Adv,1,bile
100,lütfen,288538,52.679,Adv,1,lütfen
101,durmak,287549,52.844,Verb,1,dur
102,eğmek,282959,53.007,Verb,1,eğer
103,doğru,280704,53.168,Noun,1,doğru
104,çünkü,274115,53.326,Noun,1,çünkü
105,artık,273712,53.483,Noun,1,artık
106,as,272033,53.64,Noun,1,aslında
107,bay,271401,53.796,Noun,1,bay
108,tek,270968,53.951,Noun,1,tek
109,zor,269667,54.106,Verb,1,zor
110,yol,266260,54.259,Noun,2,yolu
111,el,263842,54.411,Noun,1,el
112,ölmek,263761,54.563,Verb,1,öldü
113,öldürmek,262199,54.713,Verb,1,öldürmek
114,duymak,260877,54.863,Verb,1,duydum
115,ada,260594,55.013,Noun,1,adam
116,belki,257483,55.161,Adv,1,belki
117,başlamak,254888,55.308,Verb,1,başladı
118,yardım,252097,55.453,Noun,2,yardım
119,inmek,250483,55.597,Verb,1,in
120,arkadaş,250381,55.741,Noun,1,arkadaşım
121,büyük,248162,55.883,Noun,1,büyük
122,gece,241489,56.022,Noun,1,gece
123,aramak,238547,56.159,Verb,1,arıyor
124,yer,232101,56.293,Noun,1,yerde
125,ara,231299,56.426,Noun,1,ara
126,nere,225926,56.555,Verb,1,nereye
127,adam,223904,56.684,Noun,1,adamı
128,fazla,221383,56.811,Noun,1,fazla
129,girmek,221023,56.939,Verb,1,gir
130,dönmek,220553,57.065,Verb,1,dön
131,getirmek,215207,57.189,Verb,1,getir
132,ile,214723,57.312,Conj,1,ile
133,baş,214287,57.436,Noun,1,başına
134,hey,211678,57.557,Interj,1,hey
135,kötü,208290,57.677,Noun,1,kötü
136,hiçbir,207864,57.797,Det,1,hiçbir
137,ad,204721,57.914,Noun,1,adı
138,kimse,203544,58.031,Pron,1,kimse
139,ihtiyaç,202720,58.148,Noun,1,ihtiyacım
140,ilgi,201726,58.264,Verb,1,ilgili
141,kadın,200752,58.379,Noun,1,kadın
142,efendi,200154,58.494,Noun,1,efendim
143,hep,199182,58.609,Pron,1,hep
144,harika,198546,58.723,Verb,1,harika
145,yeni,196397,58.836,Noun,1,yeni
146,iz,196377,58.949,Noun,1,izin
147,tüm,195422,59.061,Noun,1,tüm
148,hâlâ,194872,59.173,Adv,1,hala
149,gerek,194867,59.285,Noun,1,gerek
150,yaşamak,194407,59.397,Verb,1,yaşıyor
151,a,193563,59.508,Interj,1,a
152,on,191730,59.618,Noun,1,onları
153,merhaba,190900,59.728,Interj,1,merhaba
154,eder,190647,59.838,Noun,1,ederim
155,nerede,190185,59.947,Adv,1,nerede
156,beklemek,189759,60.056,Verb,1,bekliyor
157,inanmak,188627,60.164,Verb,1,inanamıyorum
158,emin,186213,60.272,Verb,1,emin
159,herkes,185502,60.378,Pron,1,herkes
160,pekâlâ,180845,60.482,Adv,1,pekala
161,karşı,178887,60.585,Noun,1,karşı
162,bayan,178735,60.688,Noun,1,bayan
163,geçmek,177599,60.79,Verb,1,geçti
164,saat,176785,60.891,Noun,1,saat
165,durum,176330,60.993,Noun,1,durum
166,üzgün,174432,61.093,Verb,1,üzgünüm
167,konu,173356,61.193,Noun,1,konusunda
168,fark,172744,61.292,Verb,1,farklı
169,kullanmak,172080,61.391,Verb,1,kullan
170,ilk,170330,61.489,Noun,1,ilk
171,bütün,170277,61.587,Noun,1,bütün
172,tam,170156,61.685,Noun,1,tam
173,dinlemek,166704,61.78,Verb,1,dinle
174,küçük,166019,61.876,Noun,1,küçük
175,dünya,165710,61.971,Noun,1,dünya
176,yıl,165319,62.066,Verb,2,yıl
177,alt,164618,62.161,Noun,1,altında
178,önem,162338,62.254,Verb,1,önemli
179,araba,161171,62.347,Noun,1,araba
180,diye,160778,62.439,Postp,1,diye
181,hemen,159283,62.531,Adj,1,hemen
182,yan,157917,62.621,Noun,1,yanında
183,taraf,156890,62.712,Noun,1,tarafından
184,görünmek,154563,62.801,Verb,1,görünüyor
185,aile,153325,62.889,Noun,1,aile
186,dost,153278,62.977,Noun,1,dostum
187,ayn,152148,63.064,Noun,1,aynı
188,yaş,151934,63.152,Noun,1,yaşlı
189,göz,149508,63.238,Noun,1,göz
190,tabiî,149213,63.323,Adv,1,tabii
191,devam,148104,63.408,Noun,1,devam
192,hepsi,146755,63.493,Pron,1,hepsi
193,hissetmek,146469,63.577,Verb,1,hissediyorum
194,ister,146199,63.661,Noun,1,ister
195,az,145709,63.745,Noun,1,az
196,hoş,144349,63.828,Noun,1,hoş
197,dakika,144088,63.911,Noun,1,dakika
198,mü,143595,63.993,Ques,1,mü
199,kişi,142819,64.075,Noun,1,kişi
200,göstermek,142197,64.157,Verb,1,göster
201,e,140101,64.238,Interj,1,e
202,şekil,137740,64.317,Noun,1,şekilde
203,olmaz,137694,64.396,Verb,1,olmaz
204,bugün,137667,64.475,Noun,1,bugün
205,güç,135699,64.553,Noun,1,güçlü
206,tutmak,134395,64.63,Verb,1,tut
207,tanımak,133725,64.707,Verb,1,tanıyor
208,polis,133340,64.784,Noun,1,polis
209,birlik,133158,64.86,Verb,1,birlikte
210,hazır,132841,64.937,Verb,1,hazır
211,şans,132549,65.013,Noun,1,şans
212,bunamak,132218,65.089,Verb,1,buna
213,sela,132159,65.165,Noun,1,selam
214,para,131095,65.24,Noun,1,parayı
215,diğer,129373,65.315,Noun,1,diğer
216,kardeş,128683,65.389,Noun,1,kardeşim
217,özür,128187,65.462,Noun,1,özür
218,söz,128145,65.536,Noun,1,söz
219,üç,128119,65.61,Noun,1,üç
220,anlatmak,127046,65.683,Verb,1,anlat
221,bitmek,126908,65.756,Verb,1,bitti
222,bek,126683,65.828,Verb,1,bekle
223,haber,126059,65.901,Noun,1,haber
224,tekrar,125884,65.973,Noun,1,tekrar
225,göre,125527,66.045,Postp,1,göre
226,dilmek,125364,66.117,Verb,1,dilerim
227,erkek,125069,66.189,Noun,1,erkek
228,oh,124332,66.261,Interj,1,oh
229,eski,124076,66.332,Noun,1,eski
230,içeri,122921,66.403,Noun,1,içeri
231,hatırlamak,122342,66.473,Verb,1,hatırlıyor
232,dışarı,122135,66.543,Noun,1,dışarı
233,öğrenmek,122020,66.614,Verb,1,öğrenmek
234,can,121573,66.683,Noun,1,canım
235,unutmak,121235,66.753,Verb,1,unutma
236,görüşmek,120609,66.822,Verb,1,görüşürüz
237,bebek,119804,66.891,Noun,1,bebeğim
238,yine,119033,66.96,Adv,1,yine
239,üzeri,118761,67.028,Noun,1,üzerinde
240,bence,118742,67.096,Adv,1,bence
241,haydi,118144,67.164,Adv,1,haydi
242,kafa,118086,67.232,Noun,1,kafa
243,orta,118051,67.3,Noun,1,ortaya
244,oturmak,117459,67.367,Verb,1,otur
245,an,117380,67.435,Noun,1,anda
246,sürmek,116858,67.502,Verb,1,süre
247,uz,116769,67.569,Verb,1,uzun
248,götürmek,116336,67.636,Verb,1,götür
249,çıkarmak,116014,67.703,Verb,1,çıkarmak
250,oğul,115806,67.769,Noun,1,oğlum
251,laz,115675,67.836,Noun,1,lazım
252,par,115553,67.902,Verb,1,para
253,fikir,115373,67.969,Noun,1,fikir
254,tatlı,115314,68.035,Noun,1,tatlım
255,bakal,114123,68.101,Noun,1,bakalım
256,zaten,114025,68.166,Adv,1,zaten
257,üst,113330,68.231,Noun,1,üstüne
258,olay,113319,68.296,Noun,1,olay
259,biri,112869,68.361,Pron,1,birisi
260,soru,112661,68.426,Verb,2,soru
261,değişmek,112401,68.491,Verb,1,değişti
262,birkaç,112072,68.555,Noun,1,birkaç
263,bahsetmek,111227,68.619,Verb,1,bahsediyorsun
264,yalnız,109298,68.682,Noun,1,yalnız
265,oda,108922,68.744,Noun,1,odasında
266,hal,108802,68.807,Noun,1,halde
267,silâh,108657,68.869,Noun,1,silah
268,doktor,108235,68.932,Noun,1,doktor
269,geçirmek,108005,68.994,Verb,1,geçirdim
270,telefon,107702,69.056,Noun,1,telefon
271,sağ,107635,69.118,Noun,1,sağ
272,verdi,107618,69.179,Noun,1,verdi
273,ı,107611,69.241,Noun,1,ı
274,korkmak,105256,69.302,Verb,1,korkarım
275,hafta,104886,69.362,Noun,1,hafta
276,ay,104651,69.422,Noun,1,ay
277,kaybetmek,103945,69.482,Verb,1,kaybettim
278,yazmak,103897,69.542,Verb,1,yaz
279,ön,103773,69.601,Noun,1,önünde
280,yermek,103741,69.661,Verb,1,yere
281,kesmek,103601,69.721,Verb,1,kes
282,açmak,102585,69.78,Verb,1,açmak
283,lanet,102363,69.838,Adj,1,lanet
284,kaç,102203,69.897,Noun,1,kaç
285,mutlu,101868,69.956,Verb,1,mutlu
286,un,100518,70.013,Noun,1,un
287,karar,99841,70.071,Verb,2,karar
288,arka,98357,70.127,Noun,1,arka
289,koymak,98205,70.184,Verb,1,koy
290,dan,98063,70.24,Dup,1,dan
291,ses,97812,70.296,Noun,1,ses
292,anmak,97609,70.353,Verb,1,an
293,oynamak,97577,70.409,Verb,1,oynamak
294,aptal,96458,70.464,Verb,1,aptal
295,uzak,95536,70.519,Verb,1,uzak
296,kontrol,95362,70.574,Noun,1,kontrol
297,su,93608,70.628,Noun,1,su
298,düş,92540,70.681,Verb,1,düşündüm
299,çekmek,91810,70.734,Verb,1,çekip
300,tane,91756,70.786,Noun,1,tane
301,bilir,91703,70.839,Verb,1,bilirsin
302,fakat,89719,70.891,Conj,1,fakat
303,kesinlikle,89613,70.942,Adv,1,kesinlikle
304,yalan,88990,70.993,Noun,1,yalan
305,açık,88623,71.044,Noun,1,açık
306,rahat,86311,71.094,Noun,1,rahat
307,kaçmak,86129,71.143,Verb,1,kaçtı
308,gelecek,85658,71.193,Noun,1,gelecek
309,ders,85630,71.242,Noun,1,dersin
310,vurmak,85154,71.291,Verb,1,vur
311,dikkat,84841,71.34,Noun,1,dikkat
312,okul,84508,71.388,Noun,1,okul
313,izlemek,83399,71.436,Verb,1,izlemek
314,at,83264,71.484,Noun,1,at
315,yarın,83120,71.532,Adv,1,yarın
316,ayrı,82699,71.579,Adv,1,ayrıca
317,niye,82392,71.627,Adv,1,niye
318,kabul,82015,71.674,Noun,1,kabul
319,yanlış,81774,71.721,Noun,1,yanlış
320,atmak,81600,71.768,Verb,1,atmak
321,kurtarmak,81539,71.815,Verb,1,kurtarmak
322,boy,81350,71.861,Noun,1,boyunca
323,aman,80827,71.908,Interj,1,aman
324,hava,80724,71.954,Noun,1,hava
325,sabah,80516,72.001,Noun,1,sabah
326,oy,80071,72.047,Noun,1,oyun
327,birşey,79842,72.092,Noun,1,birşey
328,kez,79488,72.138,Noun,1,kez
329,koca,79167,72.184,Noun,1,koca
330,denemek,78989,72.229,Verb,1,dene
331,elbette,78786,72.274,Adv,1,elbette
332,geç,78705,72.32,Adj,1,geç
333,tanışmak,78463,72.365,Verb,1,tanışmak
334,yakalamak,78372,72.41,Verb,1,yakaladım
335,edi,78003,72.455,Verb,1,edin
336,savaş,77889,72.499,Noun,1,savaş
337,falan,77702,72.544,Verb,1,falan
338,yetmek,77169,72.588,Verb,1,yeter
339,göndermek,76766,72.633,Verb,1,gönderdi
340,hem,76500,72.676,Adv,1,hem
341,özel,76452,72.72,Verb,1,özel
342,dış,76437,72.764,Noun,1,dışında
343,numara,75196,72.808,Noun,1,numara
344,kazanmak,74964,72.851,Verb,1,kazanmak
345,akşam,74929,72.894,Noun,1,akşam
346,düşmek,74883,72.937,Verb,1,düştü
347,ateş,74818,72.98,Noun,1,ateş
348,sakin,74729,73.023,Verb,1,sakin
349,yürümek,74577,73.066,Verb,1,yürü
350,anlaşmak,74435,73.108,Verb,1,anlaşıldı
351,kapı,74277,73.151,Noun,1,kapıyı
352,hangi,74036,73.194,Noun,1,hangi
353,kalp,74014,73.236,Noun,1,kalp
354,aşk,73522,73.279,Noun,1,aşk
355,merak,73236,73.321,Noun,1,merak
356,baz,73093,73.363,Adj,1,bazı
357,vakit,72778,73.404,Noun,1,vakit
358,akıl,72097,73.446,Noun,1,akıllı
359,sak,71785,73.487,Verb,1,sakın
360,okumak,71573,73.528,Verb,1,okudum
361,kap,70167,73.569,Noun,1,kaptan
362,beri,70007,73.609,Adj,1,beri
363,görev,69849,73.649,Noun,1,görev
364,la,69824,73.689,Noun,1,la
365,film,69809,73.729,Noun,1,film
366,dolmak,69362,73.769,Verb,1,dolar
367,anlam,69354,73.809,Noun,1,anlamı
368,şehir,69236,73.849,Noun,1,şehir
369,dün,69141,73.889,Adv,1,dün
370,ödemek,68827,73.928,Verb,1,ödeme
371,parça,68706,73.968,Noun,1,parçası
372,ciddi,68092,74.007,Verb,1,ciddi
373,ah,67977,74.046,Interj,1,ah
374,bey,67731,74.085,Noun,1,beyler
375,ayrılmak,67651,74.124,Verb,1,ayrıldı
376,hareket,67620,74.163,Noun,1,hareket
377,genç,67386,74.201,Noun,1,genç
378,affetmek,66961,74.24,Verb,1,affedersiniz
379,birbiri,66807,74.278,Pron,1,birbirimize
380,aşağı,66729,74.317,Noun,1,aşağı
381,sebep,66652,74.355,Noun,1,sebebi
382,korumak,66507,74.393,Verb,1,korumak
383,güvenmek,66179,74.431,Verb,1,güven
384,parti,65763,74.469,Noun,1,parti
385,cevap,65514,74.507,Noun,1,cevap
386,davranmak,65223,74.544,Verb,1,davranıyorsun
387,beş,64957,74.581,Noun,1,beş
388,hata,64433,74.619,Noun,1,hata
389,kolay,64114,74.655,Verb,1,kolay
390,gülmek,63561,74.692,Verb,1,güle
391,yakın,63336,74.728,Noun,1,yakın
392,çek,63324,74.765,Noun,1,çek
393,ölü,63202,74.801,Noun,1,ölü
394,içmek,63194,74.837,Verb,1,içmek
395,nefret,63168,74.874,Noun,1,nefret
396,geçen,62880,74.91,Adj,1,geçen
397,yi,62823,74.946,Noun,1,yi
398,ha,62491,74.982,Conj,1,ha
399,sahip,62203,75.018,Noun,1,sahip
400,sanki,61754,75.053,Adv,1,sanki
401,yardımcı,61710,75.089,Noun,1,yardımcı
402,plan,61679,75.124,Noun,1,plan
403,aç,61054,75.159,Noun,1,aç
404,umar,60908,75.194,Noun,1,umarım
405,top,60869,75.229,Noun,1,top
406,bilgi,60331,75.264,Noun,1,bilgi
407,çalmak,60206,75.298,Verb,1,çalıyor
408,beraber,59994,75.333,Verb,1,beraber
409,ala,59869,75.367,Noun,1,alan
410,veya,59817,75.402,Conj,1,veya
411,çabuk,59725,75.436,Adj,1,çabuk
412,kâr,59621,75.47,Noun,1,karım
413,kitap,59369,75.505,Noun,1,kitap
414,yerine,59264,75.539,Adv,1,yerine
415,evlenmek,58393,75.572,Verb,1,evlenmek
416,yatmak,58236,75.606,Verb,1,yat
417,isim,57937,75.639,Noun,1,ismi
418,le,57828,75.672,Noun,1,le
419,benzemek,57614,75.705,Verb,1,benziyor
420,dört,57517,75.738,Noun,1,dört
421,suç,57479,75.771,Noun,1,suç
422,tamamen,57024,75.804,Adv,1,tamamen
423,oldukça,56982,75.837,Adv,1,oldukça
424,kalkmak,56827,75.87,Verb,1,kalk
425,bulunmak,56686,75.902,Verb,1,bulunan
426,işlemek,56616,75.935,Verb,1,işler
427,hikâye,56488,75.967,Noun,1,hikaye
428,sevgili,56340,76.0,Noun,1,sevgili
429,tehlike,56157,76.032,Noun,1,tehlikeli
430,halletmek,55970,76.064,Verb,1,hallederim
431,be,55526,76.096,Noun,1,be
432,sorun,55337,76.128,Noun,1,sorunu
433,u,55248,76.16,Noun,1,u
434,sefer,55050,76.191,Noun,1,sefer
435,hayal,55039,76.223,Noun,1,hayal
436,ölüm,54626,76.254,Noun,1,ölüm
437,herif,54260,76.285,Noun,1,herif
438,başkan,53892,76.316,Noun,1,başkan
439,saniye,53890,76.347,Noun,1,saniye
440,resim,53546,76.378,Noun,1,resmi
441,kapatmak,53247,76.409,Verb,1,kapat
442,eş,53097,76.439,Noun,1,eşlik
443,çekilmek,53076,76.47,Verb,1,çekil
444,bitirmek,53043,76.5,Verb,1,bitir
445,ge,52976,76.531,Noun,1,gelen
446,herşey,52419,76.561,Noun,1,herşey
447,kaçırmak,52404,76.591,Verb,1,kaçırdın
448,süre,52067,76.621,Noun,1,sürece
449,köpek,52050,76.651,Noun,1,köpek
450,te,51410,76.68,Noun,1,te
451,cinayet,51222,76.71,Noun,1,cinayet
452,yatak,51168,76.739,Noun,1,yatak
453,sikmek,51098,76.769,Verb,1,siktir
454,bazen,50948,76.798,Adv,1,bazen
455,ise,50808,76.827,Adv,1,ise
456,ancak,50724,76.856,Adv,1,ancak
457,kanmak,50383,76.885,Verb,1,kan
458,hızlı,50341,76.914,Verb,1,hızlı
459,n,50200,76.943,Noun,1,n
460,acı,49993,76.972,Noun,1,acı
461,takip,49823,77.0,Noun,1,takip
462,tabi,49659,77.029,Interj,1,tabi
463,sağlamak,49621,77.058,Verb,1,sağlamak
464,henüz,49593,77.086,Adv,1,henüz
465,mükemmel,49481,77.114,Verb,1,mükemmel
466,etraf,49356,77.143,Noun,1,etrafta
467,gizli,49344,77.171,Noun,1,gizli
468,tür,49182,77.199,Noun,1,tür
469,dans,48976,77.228,Noun,1,dans
470,seks,48762,77.256,Noun,1,seks
471,sıra,48705,77.284,Noun,1,sırada
472,kahretmek,48583,77.312,Verb,1,kahretsin
473,sonuç,48579,77.34,Noun,1,sonuçta
474,boş,48534,77.367,Verb,1,boş
475,varmak,48418,77.395,Verb,1,varmış
476,endişelenmek,48107,77.423,Verb,1,endişelenme
477,deli,47997,77.451,Noun,1,deli
478,yarmak,47942,77.478,Verb,1,yaramaz
479,uyumak,47903,77.506,Verb,1,uyu
480,hoşlanmak,47875,77.533,Verb,1,hoşlanıyorum
481,üzere,47132,77.56,Verb,1,üzere
482,eğlence,47004,77.587,Noun,1,eğlenceli
483,satmak,46689,77.614,Verb,1,satmak
484,neredeyse,46682,77.641,Adv,1,neredeyse
485,ak,46674,77.668,Noun,1,aklıma
486,muhtemelen,46637,77.695,Adv,1,muhtemelen
487,acele,46626,77.721,Noun,1,acele
488,dek,46547,77.748,Noun,1,dek
489,garip,46452,77.775,Verb,1,garip
490,şaka,46413,77.801,Noun,1,şaka
491,yukarı,46380,77.828,Noun,1,yukarı
492,ikinci,46343,77.855,Num,1,ikinci
493,herhangi,45758,77.881,Adj,1,herhangi
494,yeniden,45661,77.907,Adv,1,yeniden
495,doğu,45591,77.934,Noun,1,doğum
496,bin,45576,77.96,Verb,1,bin
497,katılmak,45554,77.986,Verb,1,katılıyorum
498,vay,45476,78.012,Interj,1,vay
499,neden,45368,78.038,Noun,1,nedeni
500,zarar,45343,78.064,Noun,1,zarar
501,şura,45294,78.09,Noun,1,şuraya
502,asker,45223,78.116,Noun,1,asker
503,evlât,45136,78.142,Noun,1,evlat
504,güvenlik,44932,78.168,Noun,1,güvenlik
505,komik,44897,78.194,Verb,1,komik
506,katil,44368,78.219,Noun,1,katil
507,kulak,44344,78.245,Noun,1,kulak
508,mesaj,44283,78.27,Noun,1,mesaj
509,giymek,44212,78.296,Verb,1,giy
510,dolu,44201,78.321,Verb,1,dolu
511,saymak,44023,78.346,Verb,1,sayılmaz
512,ilişki,43882,78.372,Noun,1,ilişki
513,john,43311,78.397,Noun,1,john
514,jack,43136,78.421,Noun,1,jack
515,er,43004,78.446,Verb,1,erken
516,kat,42976,78.471,Noun,1,kat
517,ülke,42734,78.495,Noun,1,ülke
518,seçmek,42721,78.52,Verb,1,seç
519,çağırmak,42389,78.544,Verb,1,çağır
520,alo,42333,78.569,Interj,1,alo
521,ait,42322,78.593,Verb,1,ait
522,şirket,42288,78.617,Noun,1,şirket
523,bölge,42268,78.642,Noun,1,bölge
524,hastane,42247,78.666,Noun,1,hastaneye
525,kayıt,42241,78.69,Noun,1,kayıt
526,uymak,42232,78.714,Verb,1,uyan
527,çeviri,42195,78.739,Noun,1,çeviri
528,emir,42087,78.763,Noun,1,emir
529,sürümek,41993,78.787,Verb,1,sürü
530,galiba,41952,78.811,Adv,1,galiba
531,yak,41923,78.835,Noun,1,yakında
532,yüksek,41832,78.859,Noun,1,yüksek
533,normal,41694,78.883,Noun,1,normal
534,memnun,41621,78.907,Adv,1,memnun
535,kısa,41583,78.931,Adv,1,kısa
536,patron,41478,78.955,Noun,1,patron
537,uygun,41453,78.979,Verb,1,uygun
538,ta,41360,79.003,Verb,1,ta
539,has,41339,79.026,Verb,1,hasta
540,yarı,41263,79.05,Noun,1,yarısı
541,sevinmek,41259,79.074,Verb,1,sevindim
542,ruh,40898,79.097,Noun,1,ruh
543,kral,40862,79.121,Noun,1,kral
544,geçmiş,40629,79.144,Noun,1,geçmiş
545,durdurmak,40512,79.167,Verb,1,durdur
546,amerika,40406,79.191,Noun,1,amerika
547,çene,40313,79.214,Noun,1,çeneni
548,tahmin,39964,79.237,Noun,1,tahmin
549,kesin,39719,79.26,Adj,1,kesin
550,dert,39712,79.282,Noun,1,dert
551,ağız,39676,79.305,Noun,1,ağzını
552,başarmak,39603,79.328,Verb,1,başardık
553,hatta,39576,79.351,Adv,1,hatta
554,kusur,39519,79.373,Noun,1,kusura
555,değmek,39393,79.396,Verb,1,değer
556,içki,39089,79.419,Noun,1,içki
557,peşin,39082,79.441,Verb,1,peşinde
558,ana,38517,79.463,Noun,1,ana
559,bağ,38353,79.485,Noun,1,bağlı
560,acaba,38352,79.507,Adv,1,acaba
561,sürekli,38211,79.529,Adj,1,sürekli
562,uçak,38174,79.551,Noun,1,uçak
563,fotoğraf,38149,79.573,Noun,1,fotoğraf
564,sır,38142,79.595,Noun,1,sıra
565,tuhaf,37996,79.617,Verb,1,tuhaf
566,kapmak,37916,79.639,Verb,1,kapa
567,yem,37859,79.66,Noun,1,yemin
568,teklif,37728,79.682,Noun,1,teklif
569,terk,37674,79.704,Noun,1,terk
570,buluşmak,37488,79.725,Verb,1,buluşma
571,merkez,37484,79.747,Noun,1,merkezi
572,müzik,37313,79.768,Noun,1,müzik
573,beyaz,37183,79.79,Noun,1,beyaz
574,kurban,36990,79.811,Noun,1,kurban
575,kol,36981,79.832,Noun,1,kol
576,korkunç,36973,79.853,Verb,1,korkunç
577,patlamak,36926,79.875,Verb,1,patlama
578,duygu,36800,79.896,Noun,1,duygusal
579,yeterince,36778,79.917,Adv,1,yeterince
580,kurtulmak,36773,79.938,Verb,1,kurtulmak
581,ceset,36733,79.959,Noun,1,ceset
582,sistem,36685,79.98,Noun,1,sistemi
583,milyon,36572,80.001,Noun,1,milyon
584,kaldırmak,36515,80.022,Verb,1,kaldır
585,değer,36467,80.043,Noun,1,değerli
586,mümkün,36350,80.064,Verb,1,mümkün
587,günaydın,36316,80.085,Interj,1,günaydın
588,kaybolmak,36295,80.106,Verb,1,kayboldu
589,sokak,36292,80.127,Noun,1,sokak
590,nokta,36218,80.148,Noun,1,nokta
591,şüphe,36140,80.168,Noun,1,şüpheli
592,yavaş,36090,80.189,Adj,1,yavaş
593,sıcak,35957,80.21,Noun,1,sıcak
594,bell,35865,80.23,Noun,1,belli
595,takmak,35792,80.251,Verb,1,tak
596,büyümek,35696,80.272,Verb,1,büyü
597,sessiz,35646,80.292,Noun,1,sessiz
598,aynen,35633,80.313,Adv,1,aynen
599,masa,35594,80.333,Noun,1,masa
600,yıldız,35556,80.353,Noun,1,yıldız
601,gemi,35208,80.374,Noun,1,gemisi
602,ajan,35172,80.394,Noun,1,ajan
